#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
university_of_athens_desc;Following the War of Independence and the birth of Greek Nationalism, many Greek intellectuals wanted to create a university to educate the future elites of the country along with the common folk. Athens was chosen to host the first modern university of Greece, because of its past and its importance in the Greek national narrative.;;;;;;;;;;;;;
settle_east_MAC_title;Settle the Bulgarian Border Problem;;;;;;;;;;;;;
settle_east_MAC_desc;There has been problems with Bulgaria because of East Macedonia which is a rightful Greek land but which they considered as a part of their heartland. Our dominant position in the Balkans allow us to end this squabble by making them recognize our claim to the area. We would also make an exchange of population so that Bulgarians live in Bulgaria and Greeks in Greece.;;;;;;;;;;;;;
Enosis_GRE_title;Megali Idea completed;;;;;;;;;;;;;
Enosis_GRE_desc;We have proven the superiority of the Greek people over the pesky Turks. The whole Greek coast is in our control and the City of the World's Desires is now completely safe from barbarian attacks! The Enosis is complete and we must now assimilate the people living in our country to ensure the purity of the Greek state.;;;;;;;;;;;;;
greek_epirus_title;Greek Epirus;;;;;;;;;;;;;
greek_epirus_desc;Greeks have inhabited Epirus since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;
restore_epirus_title;Restore Epirus;;;;;;;;;;;;;
restore_epirus_desc;With the Greek invaders driven out of Epirus, proper Albanian names can be restored to these lands.;;;;;;;;;;;;;
greek_thrace_title;Greek Thrace;;;;;;;;;;;;;
greek_thrace_desc;Greeks have inhabited Thrace since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;
restore_thrace_title;Restore Thrace;;;;;;;;;;;;;
restore_thrace_desc;With the Greek invaders driven out of Thrace, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;
greek_constantinople_title;Greek Constantinople;;;;;;;;;;;;;
greek_constantinople_desc;Greeks have inhabited Byzantium since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;
restore_istanbul_title;Restore Istanbul;;;;;;;;;;;;;
restore_istanbul_desc;With the Greek invaders driven out of Istanbul, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;
greek_ionia_title;Greek Ionia;;;;;;;;;;;;;
greek_ionia_desc;Greeks have inhabited Ionia since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;
restore_aydin_title;Restore Aydin;;;;;;;;;;;;;
restore_aydin_desc;With the Greek invaders driven out of Aydin, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;
greek_nicaea_title;Greek Nicaea;;;;;;;;;;;;;
greek_nicaea_desc;Greeks have inhabited Nicaea since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;
restore_hudavendigar_title;Restore Hudavendigar;;;;;;;;;;;;;
restore_hudavendigar_desc;With the Greek invaders driven out of Hudavendigar, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;
greek_pontus_title;Greek Pontus;;;;;;;;;;;;;
greek_pontus_desc;Greeks have inhabited Pontus since antiquity. With the region now firmly under our control, proper Greek names can be restored to these lands.;;;;;;;;;;;;;
restore_pontus_title;Restore Pontus;;;;;;;;;;;;;
restore_pontus_desc;With the Greek invaders driven out of Pontus, proper Turkish names can be restored to these lands.;;;;;;;;;;;;;
greater_euskadia_title;Greater Euskadia;;;;;;;;;;;;;
greater_euskadia_desc;To preserve our position in the Bay of Biscay we need to extend our territories to the north.;;;;;;;;;;;;;
malacca_treaty_SCA_title;Treaty with Scandinavia;The Malacca Treaties;The Malacca Treaties;;;;;;;;;;;
malacca_treaty_SCA_desc;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on thst territory?;With the growing power of Malacca our Malaysian colonies have become almost worthless. If we cede our colonies to Malacca it would simultaniously relieve us of the headache of running them and greatly improve our relationship with Malacca.;With the growing power of Malacca our Malaysian colonies have become almost worthless. If we cede our colonies to Malacca it would simultaniously relieve us of the headache of running them and greatly improve our relationship with Malacca.;;;;;;;;;;;
malacca_treaty_BRG_title;Treaty with Burgundy;The Malacca Treaties;The Malacca Treaties;;;;;;;;;;;
malacca_treaty_BRG_desc;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on thst territory?;With the growing power of Malacca our Malaysian colonies have become almost worthless. If we cede our colonies to Malacca it would simultaniously relieve us of the headache of running them and greatly improve our relationship with Malacca.;With the growing power of Malacca our Malaysian colonies have become almost worthless. If we cede our colonies to Malacca it would simultaniously relieve us of the headache of running them and greatly improve our relationship with Malacca.;;;;;;;;;;;
form_grossdeutschland_title;Let the German Eagle rise!;Formons le grand Empire Allemand!;Gründe Großdeutschland!;;;;;;;;;;;
form_grossdeutschland_desc;Our domination of the German areas is now beyond contest - for the first time in a millennia, the German people are united under a flag, ours! Let us proclaim the Greater German state, and take our rightful place as leaders of Europe!;Notre domination des terres germaniques est maintenant sans rival - pour la première fois depuis un millénaire, les allemands sont unis sous un seul drapeau - le nôtre! Proclamons le Grand Empire Allemand, et prenons notre place légitime à la tête de l'Europe!;Unsere Dominanz der deutschen Gebiete ist nun über jeden Einspruch erhaben - zum ersten Mal in einen Jahrtausend ist das deutsche Volk unter einer Flagge vereint, unserer! Lasst uns Großdeutschland verkünden und unseren rechtmäßigen Platz als Führer von Europa einnehmen!;;;;;;;;;;;
centralize_hre_title;The Thousand Years' Reich;;;;;;;;;;;;;
centralize_hre_desc;The Holy Roman Empire could have been the greatest power of the continent if it had been united. The previous emperor tried to centralize the various principalities during the Revolution but the Great German War forced him to withdraw its claims. But now we are strong enough to try the adventure once more and this time, maybe establish a Reich that will last a Thousand Years !;;;;;;;;;;;;;
move_to_frankfurt_title;Move the capital to Frankfurt;;;;;;;;;;;;;
move_to_frankfurt_desc;Despite our efforts, the princes of the Empire did not accept our claim. We defeated them and we can rightfully be recognized Kaiser by the Germans ! Ein Reich, Ein Deustchland !;;;;;;;;;;;;;
form_elbian_confederation_title;Form the Confederation at the Elbe;;;;;;;;;;;;;
form_elbian_confederation_desc;The dream of reunifying the German lands under our dominion is now forfeit. The revolutions and the rise of German nationalism have provoked an immense opposition to the unified Reich. However we hold special ties with the Elbian people and if we could bring the North German lands under our protection we could annex the princes of the north and govern the Elbians as equals to the Bohemians;;;;;;;;;;;;;
integrate_prussia_title; Integration of Prussia;;;;;;;;;;;;;
integrate_prussia_desc;Although Prussia was never part of our sphere of influence, the lands we ahve conquereds are still predominently inhabited by Germans. We can thus add them to our Realm;;;;;;;;;;;;;
integrate_elsass_title;Integration of Elsass;;;;;;;;;;;;;
integrate_elsass_desc;The Elsass lands have been out of the HRE since the first Burgundian wars. Predominantly inhabited by Rhenish people, we can add this area to the glorious Reich !;;;;;;;;;;;;;
integrate_rhineland_title;Integration of the Rhine;;;;;;;;;;;;;
integrate_rhineland_desc;With our state controlling most of the Rhine region we have gained the support of the locals! Fur die Vaterland!;;;;;;;;;;;;;
integrate_elbe_title;Integration of the North;;;;;;;;;;;;;
integrate_elbe_desc;Our quest towards the integration of Germany has seen our state gaining the control of many territories in North Germany. With our hold secured on these areas we can surely gain the approval and cooperation of the locals!;;;;;;;;;;;;;
integrate_south_title;Integration of the South;;;;;;;;;;;;;
integrate_south_desc;Our quest towards the integration of Germany has seen our state gaining the control of many territories in South Germany. With our hold secured on these areas we can surely gain the approval and cooperation of the locals!;;;;;;;;;;;;;
greater_griqualand_title;Establish Greater Griqualand;;;;;;;;;;;;;
greater_griqualand_desc;With our extensive rule over the South African territories you can claim the title of Lord Protector of Greater Griqualand.;;;;;;;;;;;;;
gtfo_on_title;Show 'Release Vassal' Decisions;;;;;;;;;;;;;
gtfo_on_desc;The Release Vassal decisions allow releasing vassals, and are normally hidden to keep the decision list short and clear.;;;;;;;;;;;;;
gtfo_off_title;Hide 'Release Vassal' Decisions;;;;;;;;;;;;;
gtfo_off_desc;The decisions to release vassals will be hidden again.;;;;;;;;;;;;;
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;;
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti.;;;;;;;;;;;;;
gtfo_BSH_title;Grant Lesotho Independence;;;;;;;;;;;;;
gtfo_BSH_desc;We've had a good run, but it's time to end our rulership of Lesotho.;;;;;;;;;;;;;
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;;
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo.;;;;;;;;;;;;;
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;;
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba.;;;;;;;;;;;;;
gtfo_KZB_title;Grant Kazembe Independence;;;;;;;;;;;;;
gtfo_KZB_desc;We've had a good run, but it's time to end our rulership of Kazembe.;;;;;;;;;;;;;
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;;
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba.;;;;;;;;;;;;;
gtfo_LOA_title;Grant Loango Independence;;;;;;;;;;;;;
gtfo_LOA_desc;We've had a good run, but it's time to end our rulership of Loango.;;;;;;;;;;;;;
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;;
