;;;;;;;;;;;;;;x                                          
CLM15.D;Rebel representatives have approached us to discuss a peace. They are ready to relinquish all Granadan territories if we accept the independence of their Federation;;;;;;;;;;;;x
CLM16.T;Treaty of Cartagena  ;;;;;;;;;;;;x
CLM16.D;After a long and bloody war, Mexican representatives have agreed on peace with the Spanish crown. Gran Colombia is recognized as an independent nation but all the territories dependent of the old vice-royalty of Granada along with Andagoya will be ceded to Spain. Already, crowds are gathering in Nova Lisboa and San Salvador to blame the Mexican government and the so-proclaimed president Miranda for the defeat. What will happen to the Federation ? ;;;;;;;;;;;;x
CLM17.T;Administration of Granada;;;;;;;;;;;;x
CLM17.D;The treaty of Cartagena has left us with many possibilities in Ameriga. We could maintain the old order but at the cost of increased rebellions or allow home-rule. In the latter we have to decide how to divide the area. Keeping a strong Granada could be needed against the belligerent Federation in the North but it could also be dangerous, should it rebel ... ;;;;;;;;;;;;x
CLM18.T;Legitimity questionned ;;;;;;;;;;;;x
CLM18.D;With the signature of the peace of Cartagena, the hold of Mexico over the Federation has loosened. Both Lusitanian and Mesoamericans are asking for a congress to be held in Mexico to decide of the future of the federation. However many generals fear the outcome of this session and partisans of the war hero Santa Anna want him to take command. Such a move would however only increase the various independentists movements... ;;;;;;;;;;;;x
CLM19.T;The Congress of Mexico : Opening ;;;;;;;;;;;;x
CLM19.D;The various representatives from all the Federation have arrived in Mexico City to decide of their future. ;;;;;;;;;;;;x
CLM20.T;The Congress of Mexico : Closing  ;;;;;;;;;;;;x
CLM20.D;It is the end of the congress : what have they chosen ? ;;;;;;;;;;;;x
CLM21.T;The Congress of Mexico : United Gran Colombia;;;;;;;;;;;;x
CLM21.D;Despite the apparent ditrust toward the government the Federation will continue to live. With the inclusion of Mesoamerigan and Lusitanian in our government we can prepare the liberation of Granada ! ;;;;;;;;;;;;x
CLM22.T;The Congress of Mexico : End of the Federation ;;;;;;;;;;;;x
CLM22.D;The Lusitanian and Mesoamerigan have voted the end of Gran Colombia. The distrust, the fear accumulated against the Mexican government has shown itself and it is too late to maintain Gran Colombia as it is. ;;;;;;;;;;;;x
CLM23.T;The Congress of Mexico : Division of Mexico  ;;;;;;;;;;;;x
CLM23.D;The Federation has lived but even Mexico is crumbling under the independists demands. Determined to get their independence, the Lusitanian and Mesoamerigan representatives have turned the natives against the old government, each asking a country on their own. The military has now retired to Jalisco, the only province they have managed to retain ... ;;;;;;;;;;;;x
CLM24.T;The Veracruz Plan ;;;;;;;;;;;;x
CLM24.D;Maintaining Order in Gran Colombia has been hard since the accession of Santa Anna to Presidency. Liberals are criticizing "the extraordinary measures" took by Santa Anna and some already think that Spanish domination would be softer than the one imposed by the Mexican miltary. To help fight the secessionist movements in Lusitania and Mesoamerica, Santa Anna has met in Veracruz with Inacio Madeira and José Morazan. The first is a Lusitanian war hero who has led the recapture of Nova Lisboa in the last moments of the war and thus acquired a prestigious figure in Lusitania. The second is the symbol of assimilation of the Native populations, his family indeed originates from Mayan caciques who then became great figures in San Salvador. A leader of the independence war, he is revered by both Mayan and Mesoamerigan populations. Along with these two prominent figures, Santa Anna has designed a plan which divides the country into three spheres of influence until the Federation is ready to fight once more the Spanish.  ;;;;;;;;;;;;x
CLM25.T;The Monclova Fort ;;;;;;;;;;;;x
CLM25.D;Tension have erupted in Tejas since the Veracruz Plan. Madeira has always refused to accept Mexican claims on the territories that belonged to the vice-royalty of Lusitania. But Santa Anna recently said a small garrison near Monclova in a move to anger Madeira. He reacted and destroyed the fort, killing the Mexican soldiers. Now it is war against Mexico for the independence of Lusitania ! ;;;;;;;;;;;;x
CLM26.T;Tejas incident ;;;;;;;;;;;;x
CLM26.D;Mexican forces have been killed in a fort located in Lusitanian territory ! Madeira has refused to condemn the attack and has declared the independence of Lusitania, free from Mexico ! ;;;;;;;;;;;;x
CLM27.T;An herald from Salvador ;;;;;;;;;;;;x
CLM27.D;Morazan has refused to take action against Madeira ! Furthermore he wants us to acknowledge the independence of the Mesoamerigans or he'll go to war against Mexico ... ;;;;;;;;;;;;x 
CLM28.T;Failure of Veracruz Plan ;;;;;;;;;;;;x 
CLM28.D;With the ongoing war, no one can say that we represent the Federation... ;;;;;;;;;;;;x
CLM29.T;The Tarascan uprising ;;;;;;;;;;;;x
CLM29.D;Taking advantage of the war, nationalists have declared Purepacha free ! ;;;;;;;;;;;;x 
CLM31.T;The Zapotec uprising ;;;;;;;;;;;;x
CLM31.D;Taking advantage of the war, nationalists have declared Oaxaca free ! ;;;;;;;;;;;;x 
CLM32.T;Liberal uprising ! ;;;;;;;;;;;;x 
CLM32.D;The liberal opposition has taken the control of the Western provinces and is determined to take Mexico ! ;;;;;;;;;;;;x  
CLM33.T;The Jalisco constitution ;;;;;;;;;;;;x 
CLM33.D;We are different from Santa Anna ;;;;;;;;;;;;x  
CLM34.T;$FROMCOUNTRY_ADJ$ Ultimatum;;;;;;;;;;;;;x
CLM34.D;With the downfall of the Federation, our former Spanish overlords are trying to recover control over their shattered empire. Anyway we must decide the future of $COUNTRY$.;;;;;;;;;;;;x
CLM35.T;They Refuse!;;;;;;;;;;;;;x
CLM35.D;$FROMCOUNTRY$ rejected our ultimatum! Diplomacy has failed, but they will submit one way or the other!;;;;;;;;;;;;x
CLM36.T;They Agree!;;;;;;;;;;;;;x
CLM36.D;Clearly fearing our might, $FROMCOUNTRY$ decided to satisfy our demands. Our former subjects are ready to rejoin the Empire and the Spanish flag is already hoisted in the streets of $FROMCOUNTRY_CAPITAL$;;;;;;;;;;;;x
CLM37.T;Lusitanian border ;;;;;;;;;;;;;x 
CLM37.D;Profiting from the conflicts that erupted since the Colombian War, Plantagenia has taken rightful Lusitanian lands. With their lands reincorporated in the Empire, we are in the position to ask Plantagenia to relinquish their claims and give back the lands;;;;;;;;;;;;;x
CLM38.T;$FROMCOUNTRY_ADJ$ Ultimatum;;;;;;;;;;;;;x
CLM38.D;With the downfall of Lusitania,the Spanish are trying to recover control over the areas we seized from their old vice-royalty. We have now the choice of giving up the land or fight for it ...;;;;;;;;;;;;x
CLM39.T;They Refuse!;;;;;;;;;;;;;x
CLM39.D;$FROMCOUNTRY$ rejected our ultimatum! Diplomacy has failed, but they will submit one way or the other!;;;;;;;;;;;;x
CLM40.T;They Agree!;;;;;;;;;;;;;x
CLM40.D;Clearly fearing our might, $FROMCOUNTRY$ decided to satisfy our demands. People in Nova Lisboa rejoice to be reunited with their brethren ! ;;;;;;;;;;;;x
CLM41.T;Reorganisation of the vice-royalties;;;;;;;;;;;;;x 
CLM41.D;Now that we control all the former lands of our Empire, we must decide how we will rule the lands. We could establish the old-vice-royalties or keep the territory under close surveillance ;;;;;;;;;;;;;x
CLM50.T;Treaty of Habana;;;;;;;;;;;;;x 
CLM50.D;The $FROMCOUNTRY_ADJ$ Spanish war is over. Representatives from Spain have been forced to sign an humiliating treaty that makes them free all their Colombian and Caribbean holdings . $FROMCOUNTRY$ has affirmed itself as a World Power and Europeans powers now begin to pay more attention to affairs on the other side of the Atlantic ...;;;;;;;;;;;;;x 
CLM53.T;La Revolucion Gloriosa !;;;;;;;;;;;;;x 
CLM53.D;The Spanish population has lost confidence in the monarchy. The defeat and the loss of Gran Colombia has allowed Republicans to gain influence in the Spanish society. Seeing the decay of the state and the monarchy, radicals have overthrown the King and proclaimed the Republic ! Many wonder how the country will evolve ...;;;;;;;;;;;;;x 
CLM54.T;Military Coup d'Etat !;;;;;;;;;;;;;x 
CLM54.D;Following the defeat in Colombia, a group of generals have forced the King to abdicate. These men have taken the power for themselves, promising to end the decay of the Spanish state.;;;;;;;;;;;;;x 
CLM55.T;End of the Dictatorship;;;;;;;;;;;;;x 
CLM55.D;Following their defeat in Colombia, the clique of generals that controlled Spain has been ousted and the Republic proclaimed !;;;;;;;;;;;;;x 
CLM56.T;La revolucion popular ! ;;;;;;;;;;;;;x 
CLM56.D;The defeat in the Colombian War has shaken the very foundations of the Spanish state. The previous government has been overthrown by the vanguard party who has proclaimed the birth of the Spanish proletarian dictatorship;;;;;;;;;;;;;x 
CLM57.T;Stabilization of the regime;;;;;;;;;;;;;x 
CLM57.D;Despite the defeat in Colombia the current regime is still supported by the Spanish people and democracy will endure !;;;;;;;;;;;;;x 
spanish_treaty_1_title;The treaty of Habana;;;;;;;;;;;;;x 
spanish_treaty_1_desc;Spain has won in the Colombian wars of independence and now occup large lands on our continent. It is our duty to 'free' the Colombians and destroy the few influence the Spanish could have in our demesne !;;;;;;;;;;;;;x 
spanish_treaty_2_title;The Treaty of Habana ;;;;;;;;;;;;;x 
spanish_treaty_2_desc;Spain has won in the Colombian wars of independence and now occup large lands on our continent. It is our duty to 'free' the Colombians and destroy the few influence the Spanish could have in our demesne ! ;;;;;;;;;;;;;x 
spanish_treaty_3_title;The Treaty of Habana;;;;;;;;;;;;;x  
spanish_treaty_3_desc;Spain has won in the Colombian wars of independence and now occup large lands on our continent. It is our duty to 'free' the Colombians and destroy the few influence the Spanish could have in our demesne ! ;;;;;;;;;;;;;x 
pearl_delta_control_title; Control of the Pearl River Delta ;;;;;;;;;;;;;x 
pearl_delta_control_desc; Amongst the Chinese states, we hold a special relationship with Taiping. This state while professing a deviant interpretation of the Holy Faith, is still Christian, a quality the others warring states don't have. Moreover, it is close to our base in Hainan from where we used to trade with China. We could propose to help them against their opponents in exchange for some ports in the area ...  ;;;;;;;;;;;;;x 
CHI1.T;A Spanish embassy;;;;;;;;;;;;;x
CHI1.D;The Spanish who control the island of Hainan have approached us to negotiate a treaty of friendship and assistance between the Catholic king and our leader. In exchange of Macao or Hong-Kong, they are ready to assist us in our Crusade and protect us from the European dogs lurking on our riches;;;;;;;;;;;;;x
CHI2.T;They refused ! ;;;;;;;;;;;;;x
CHI2.D;The Taiping dogs have refused to give us the ports along the Pearl Delta. Already we are making preparations to "protect the locals" from the mad heretics ;;;;;;;;;;;;;x
CHI3.T;Macao is ours ! ;;;;;;;;;;;;;x 
CHI3.D;The Taiping leaders have accepted to lease us the port of Macao in exchange of some protection.  ;;;;;;;;;;;;;x
CHI4.T;They accepted ! ;;;;;;;;;;;;;x
CHI4.D;The Chinese have accepted to give us the control of Macao and Hong-Kong, allowing us to exert a great influence in the area. However, we are now expected to protect them against the various threats of the Chinese claimants ;;;;;;;;;;;;;x
hre_unification;Imperial Authority;;;;;;;;;;;;;x
hre_unification_desc;We have to beat our ennemies and unify the HRE under our authority ! ;;;;;;;;;;;;;x
hre_unification2;Imperial Authority;;;;;;;;;;;;;x
hre_unification2_desc;We have to beat our ennemies and unify the HRE under our authority ! ;;;;;;;;;;;;;x
PskovF.T;The end of Pskov ? ;;;;;;;;;;;;;x
PskovF.D;Our overlords in Copenhagen ask us to relinquish our independence.;;;;;;;;;;;;;x
reclaimPOM_title;Reclaiming Pomerania;;;;;;;;;;;;;x
reclaimPOM_desc;Even if we have lost Pomerania, they are still rightful Scandinavian lands. Let us proclaim it high and wide and let the Germans fear our coming back !;;;;;;;;;;;;;x
centralize_hre_title;The Thousand Years' Reich ;;;;;;;;;;;;;x
centralize_hre_desc;The Holy Roman Empire could have been the greatest power of the continent if it had been united. The previous emperor tried to centralize the various principalities during the Revolution but the Great German War forced him to withdraw its claims. But now we are strong enough to try the adventure once more and this time, maybe establish a Reich that will last a Thousand Years ! ;;;;;;;;;;;;;x
